timestamp,symbol,side,size,price,tickDirection,trdMatchID,grossValue,homeNotional,foreignNotional
1621019506.486 , BTCUSD , Buy , 3000 , 50037.5 ,,,,,
1621019506.474 , BTCUSD , Buy , 250 , 50036.5 ,,,,,
1621019506.48 , BTCUSD , Buy , 377 , 50037.5 ,,,,,
1621019508.482 , BTCUSD , Buy , 10095 , 50032.5 ,,,,,
1621019508.492 , BTCUSD , Buy , 15000 , 50029.5 ,,,,,
1621019508.501 , BTCUSD , Buy , 48260 , 50027 ,,,,,
1621019508.477 , BTCUSD , Buy , 100 , 50031 ,,,,,
1621019509.482 , BTCUSD , Buy , 10000 , 50021.5 ,,,,,
1621019509.488 , BTCUSD , Buy , 400 , 50018.5 ,,,,,
1621019509.489 , BTCUSD , Buy , 4887 , 50022.5 ,,,,,
1621019523.496 , BTCUSD , Buy , 27218 , 50015.5 ,,,,,
1621019523.491 , BTCUSD , Buy , 951 , 50019.5 ,,,,,
1621019523.496 , BTCUSD , Buy , 832 , 50019 ,,,,,
1621019526.508 , BTCUSD , Buy , 15500 , 50011.5 ,,,,,
1621019531.529 , BTCUSD , Buy , 9930 , 50010 ,,,,,
1621019531.536 , BTCUSD , Buy , 400 , 50008 ,,,,,
1621019532.546 , BTCUSD , Buy , 29 , 50001 ,,,,,
1621019532.528 , BTCUSD , Buy , 183 , 50004 ,,,,,
1621019565.578 , BTCUSD , Buy , 4029 , 49985 ,,,,,
1621019563.582 , BTCUSD , Buy , 963 , 49990 ,,,,,
1621019565.594 , BTCUSD , Buy , 896 , 49986 ,,,,,
1621019563.578 , BTCUSD , Buy , 550 , 49992.5 ,,,,,
1621019593.624 , BTCUSD , Buy , 1074 , 49975.5 ,,,,,
1621019593.626 , BTCUSD , Buy , 537 , 49974.5 ,,,,,
1621019618.748 , BTCUSD , Buy , 3192 , 49962 ,,,,,
1621019619.741 , BTCUSD , Buy , 2474 , 49946.5 ,,,,,
1621019618.734 , BTCUSD , Buy , 213 , 49960.5 ,,,,,
1621019618.732 , BTCUSD , Buy , 665 , 49954 ,,,,,
1621019618.74 , BTCUSD , Buy , 6601 , 49957.5 ,,,,,
1621019619.746 , BTCUSD , Buy , 7147 , 49945 ,,,,,
1621019618.729 , BTCUSD , Buy , 385 , 49954 ,,,,,
1621019618.728 , BTCUSD , Buy , 285 , 49952 ,,,,,
1621019619.737 , BTCUSD , Buy , 10525 , 49948.5 ,,,,,
1621019619.738 , BTCUSD , Buy , 110837 , 49945.5 ,,,,,
1621019618.756 , BTCUSD , Buy , 48273 , 49952 ,,,,,
1621019631.726 , BTCUSD , Buy , 17097 , 49929 ,,,,,
1621019631.735 , BTCUSD , Buy , 1286 , 49920.5 ,,,,,
1621019631.737 , BTCUSD , Buy , 46 , 49923.5 ,,,,,
1621019632.739 , BTCUSD , Buy , 6915 , 49912.5 ,,,,,
1621023949.87 , BTCUSD , Buy , 113 , 49909 ,,,,,
1621023949.895 , BTCUSD , Buy , 4000 , 49910 ,,,,,
1621023978.937 , BTCUSD , Buy , 150 , 49903.5 ,,,,,
1621023978.926 , BTCUSD , Buy , 65000 , 49903.5 ,,,,,
1621024023.012 , BTCUSD , Buy , 100 , 49883.5 ,,,,,
1621024023.99 , BTCUSD , Buy , 12789 , 49882 ,,,,,
1621024024.004 , BTCUSD , Buy , 150 , 49882 ,,,,,
1621024026.996 , BTCUSD , Buy , 347 , 49877.5 ,,,,,
1621024026.987 , BTCUSD , Buy , 1 , 49875.5 ,,,,,
1621024027.003 , BTCUSD , Buy , 3 , 49875.5 ,,,,,
1621024027.012 , BTCUSD , Buy , 1 , 49875.5 ,,,,,
1621024027.012 , BTCUSD , Buy , 1 , 49875.5 ,,,,,
1621024030.011 , BTCUSD , Buy , 226 , 49874 ,,,,,
1621024030.011 , BTCUSD , Buy , 340646 , 49867.5 ,,,,,
1621024030.013 , BTCUSD , Buy , 1000 , 49859 ,,,,,
1621024030.003 , BTCUSD , Buy , 3638 , 49868.5 ,,,,,
1621024036.008 , BTCUSD , Buy , 24576 , 49848 ,,,,,
1621024036.017 , BTCUSD , Buy , 421 , 49849 ,,,,,
1621024036.024 , BTCUSD , Buy , 164 , 49849 ,,,,,
1621024036.017 , BTCUSD , Buy , 1641 , 49853 ,,,,,
1621024036.025 , BTCUSD , Buy , 800 , 49853 ,,,,,
1621024036.171 , BTCUSD , Buy , 181248 , 49846.5 ,,,,,
1621024036.018 , BTCUSD , Buy , 20 , 49854.5 ,,,,,
1621024036.018 , BTCUSD , Buy , 1689 , 49846 ,,,,,
1621024036.024 , BTCUSD , Buy , 61440 , 49847.5 ,,,,,
1621024059.057 , BTCUSD , Buy , 117760 , 49844 ,,,,,
1621024060.063 , BTCUSD , Buy , 146432 , 49842.5 ,,,,,
1621024060.059 , BTCUSD , Buy , 466 , 49843 ,,,,,
1621024060.068 , BTCUSD , Buy , 1000 , 49842 ,,,,,
1621024060.076 , BTCUSD , Buy , 132096 , 49841.5 ,,,,,
1621024060.076 , BTCUSD , Buy , 113664 , 49841 ,,,,,
1621024075.079 , BTCUSD , Buy , 32609 , 49839.5 ,,,,,
1621024075.092 , BTCUSD , Buy , 75776 , 49840.5 ,,,,,
1621024075.079 , BTCUSD , Buy , 5 , 49836 ,,,,,
1621024075.079 , BTCUSD , Buy , 120000 , 49838 ,,,,,
1621024075.086 , BTCUSD , Buy , 50176 , 49839.5 ,,,,,
1621024075.079 , BTCUSD , Buy , 13852 , 49840.5 ,,,,,
1621024075.083 , BTCUSD , Buy , 72704 , 49838 ,,,,,
1621024075.089 , BTCUSD , Buy , 46080 , 49835 ,,,,,
1621024075.089 , BTCUSD , Buy , 31744 , 49839.5 ,,,,,
1621024077.082 , BTCUSD , Buy , 1 , 49826 ,,,,,
1621024080.109 , BTCUSD , Buy , 2878 , 49779.5 ,,,,,
1621024080.126 , BTCUSD , Buy , 24576 , 49772 ,,,,,
1621024080.126 , BTCUSD , Buy , 5120 , 49777 ,,,,,
1621024080.127 , BTCUSD , Buy , 482304 , 49784 ,,,,,
1621024080.127 , BTCUSD , Buy , 31232 , 49769.5 ,,,,,
1621024080.105 , BTCUSD , Buy , 10000 , 49812 ,,,,,
1621024080.105 , BTCUSD , Buy , 2774 , 49772 ,,,,,
1621024080.105 , BTCUSD , Buy , 41 , 49812 ,,,,,
1621024080.105 , BTCUSD , Buy , 2426 , 49788.5 ,,,,,
1621024080.105 , BTCUSD , Buy , 2600 , 49806.5 ,,,,,
1621024080.097 , BTCUSD , Buy , 22848 , 49819 ,,,,,
1621024080.099 , BTCUSD , Buy , 800 , 49807.5 ,,,,,
1621024080.122 , BTCUSD , Buy , 210432 , 49782.5 ,,,,,
1621024080.122 , BTCUSD , Buy , 14848 , 49785.5 ,,,,,
1621024080.1 , BTCUSD , Buy , 46680 , 49771 ,,,,,
1621024080.122 , BTCUSD , Buy , 60416 , 49778.5 ,,,,,
1621024080.1 , BTCUSD , Buy , 7378 , 49774 ,,,,,
1621024080.122 , BTCUSD , Buy , 2048 , 49774 ,,,,,
1621024080.122 , BTCUSD , Buy , 3584 , 49780 ,,,,,
1621024080.105 , BTCUSD , Buy , 53248 , 49780.5 ,,,,,
